Brand Name,Generic Name,manufacturer,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
Spironolactone ,Spironolactone ,Sandoz ,"$876,473.36 ","4,422,432","87,000","23,409",$0.20 ,$10.07 ,$37.44 ,"$1,018,136.96 ","5,112,123","87,404","24,813",$0.20 ,$11.65 ,$41.03 ,"$678,596.16 ","4,648,840","75,197","24,739",$0.15 ,$9.02 ,$27.43 ,"$604,104.39 ","4,760,685","79,775","28,665",$0.13 ,$7.57 ,$21.07 ,"$607,382.02 ","4,935,312","71,873","25,471",$0.12 ,$8.45 ,$23.85 ,-3.01%,-11.23%
Spironolactone-HCTZ ,Spironolact/Hydrochlorothiazid ,Greenstone LLC. ,"$673,601.68 ","2,509,659","42,162","10,841",$0.27 ,$15.98 ,$62.13 ,"$1,282,602.48 ","2,992,988","46,489","14,838",$0.43 ,$27.59 ,$86.44 ,"$1,138,660.08 ","1,604,127","28,480","10,995",$0.71 ,$39.98 ,$103.56 ,"$2,233,452.23 ","2,216,452","40,306","12,896",$1.01 ,$55.41 ,$173.19 ,"$1,573,582.62 ","1,778,314","37,184","11,764",$0.88 ,$42.32 ,$133.76 ,-12.19%,34.75%
Spironolactone-HCTZ ,Spironolact/Hydrochlorothiazid ,Mutual Pharm Co ,"$1,447,560.52 ","5,223,871","108,430","23,586",$0.28 ,$13.35 ,$61.37 ,"$2,567,943.87 ","4,866,392","99,771","25,740",$0.53 ,$25.74 ,$99.76 ,"$3,507,327.48 ","4,511,161","78,368","25,294",$0.78 ,$44.75 ,$138.66 ,"$5,821,004.12 ","5,705,069","96,030","30,500",$1.02 ,$60.62 ,$190.85 ,"$6,113,374.64 ","6,476,700","107,709","30,246",$0.94 ,$56.76 ,$202.12 ,-7.49%,35.85%
Spironolactone-HCTZ ,Spironolact/Hydrochlorothiazid ,Mylan ,"$2,424,134.07 ","8,868,582","172,261","39,056",$0.27 ,$14.07 ,$62.07 ,"$4,669,001.27 ","9,994,346","187,057","45,755",$0.47 ,$24.96 ,$102.04 ,"$7,553,344.83 ","11,605,368","213,395","52,612",$0.65 ,$35.40 ,$143.57 ,"$7,670,540.91 ","9,399,453","170,089","50,171",$0.82 ,$45.10 ,$152.89 ,"$7,876,502.15 ","8,643,317","150,298","39,937",$0.91 ,$52.41 ,$197.22 ,11.67%,35.13%
Spironolactone-HCTZ ,Spironolact/Hydrochlorothiazid ,Mylan Instituti ,"$3,384.42 ","8,998",280,67,$0.38 ,$12.09 ,$50.51 ,"$33,578.60 ","65,757","1,639",556,$0.51 ,$20.49 ,$60.39 ,"$68,306.30 ","79,304","2,111",563,$0.86 ,$32.36 ,$121.33 ,"$49,654.85 ","42,273","1,105",306,$1.17 ,$44.94 ,$162.27 ,"$24,483.70 ","20,820",563,154,$1.18 ,$43.49 ,$158.99 ,0.11%,32.97%
Sporanox ,Itraconazole ,Janssen Pharm. ,"$2,707,029.27 ","1,716,828","2,531",735,$2.35 ,"$1,069.55 ","$3,683.03 ","$3,051,419.50 ","1,793,237","2,697",762,$2.39 ,"$1,131.41 ","$4,004.49 ","$3,275,090.08 ","1,805,150","2,590",707,$2.61 ,"$1,264.51 ","$4,632.38 ","$3,409,599.33 ","1,763,672","2,510",678,$2.78 ,"$1,358.41 ","$5,028.91 ","$3,612,583.88 ","1,731,946","2,476",644,$2.87 ,"$1,459.04 ","$5,609.60 ",3.15%,5.14%
Sprintec ,Norgestimate-Ethinyl Estradiol ,Teva USA ,"$815,032.55 ","1,279,836","37,318","7,629",$0.64 ,$21.84 ,$106.83 ,"$618,024.29 ","1,098,667","31,897","6,960",$0.56 ,$19.38 ,$88.80 ,"$633,171.70 ","1,274,965","36,017","7,232",$0.50 ,$17.58 ,$87.55 ,"$622,301.59 ","1,412,388","39,007","7,873",$0.44 ,$15.95 ,$79.04 ,"$595,808.80 ","1,440,600","38,958","8,005",$0.41 ,$15.29 ,$74.43 ,-6.13%,-10.23%
Sprycel ,Dasatinib ,BMS Primarycare ,"$105,309,688.15 ","555,293","14,328","2,278",$204.91 ,"$7,349.92 ","$46,229.01 ","$158,278,140.02 ","736,055","20,444","3,152",$229.01 ,"$7,742.03 ","$50,215.15 ","$214,597,773.31 ","901,061","25,806","3,693",$250.87 ,"$8,315.81 ","$58,109.33 ","$279,635,578.90 ","1,047,520","31,035","4,318",$277.96 ,"$9,010.33 ","$64,760.44 ","$321,853,864.85 ","1,113,801","33,918","4,530",$299.73 ,"$9,489.18 ","$71,049.42 ",7.84%,9.97%
Sps ,Sodium Polystyrene Sulfon/Sorb ,"Cmp Pharma, Inc ","$5,252,124.16 ","65,588,631","141,748","60,674",$0.08 ,$37.05 ,$86.56 ,"$5,338,758.48 ","59,349,658","131,442","58,184",$0.09 ,$40.62 ,$91.76 ,"$5,617,522.24 ","47,044,435","109,399","49,043",$0.12 ,$51.35 ,$114.54 ,"$5,245,876.87 ","38,025,449","92,959","42,667",$0.14 ,$56.43 ,$122.95 ,"$4,418,551.41 ","32,845,076","81,531","39,204",$0.13 ,$54.19 ,$112.71 ,-2.47%,13.80%
Sronyx ,Levonorgestrel-Ethin Estradiol ,Actavis Pharma ,"$54,745.40 ","67,389","1,937",542,$0.81 ,$28.26 ,$101.01 ,"$75,136.77 ","97,692","2,647",569,$0.77 ,$28.39 ,$132.05 ,"$69,517.60 ","105,308","2,763",580,$0.66 ,$25.16 ,$119.86 ,"$60,008.20 ","107,076","2,689",610,$0.56 ,$22.32 ,$98.37 ,"$49,013.08 ","88,512","2,209",564,$0.55 ,$22.19 ,$86.90 ,-1.19%,-9.14%
Ssd ,Silver Sulfadiazine ,Dr.Reddy'S Lab ,"$2,970,379.50 ","23,184,864","185,239","111,026",$0.13 ,$16.04 ,$26.75 ,"$4,648,339.32 ","26,318,699","217,705","130,737",$0.18 ,$21.35 ,$35.55 ,"$3,163,902.23 ","18,171,650","145,375","96,614",$0.17 ,$21.76 ,$32.75 ,"$4,593,811.50 ","28,872,141","228,161","146,132",$0.16 ,$20.13 ,$31.44 ,"$4,327,469.99 ","29,307,863","223,969","147,034",$0.15 ,$19.32 ,$29.43 ,-7.20%,3.61%
Stalevo 100 ,Carbidopa/Levodopa/Entacapone ,Novartis ,"$15,850,940.15 ","4,432,254","35,343","8,329",$3.58 ,$448.49 ,"$1,903.10 ","$5,754,760.74 ","1,372,212","10,975","2,336",$4.19 ,$524.35 ,"$2,463.51 ","$3,157,383.53 ","660,846","4,955","1,056",$4.78 ,$637.21 ,"$2,989.95 ","$2,119,962.37 ","391,509","2,736",517,$5.41 ,$774.84 ,"$4,100.51 ","$1,509,886.07 ","246,448","1,677",295,$6.13 ,$900.35 ,"$5,118.26 ",13.14%,14.41%
Stalevo 125 ,Carbidopa/Levodopa/Entacapone ,Novartis ,"$5,390,960.42 ","1,523,151","11,572","2,542",$3.54 ,$465.86 ,"$2,120.76 ","$2,440,834.40 ","583,128","4,402",929,$4.19 ,$554.48 ,"$2,627.38 ","$1,378,184.98 ","288,035","2,096",432,$4.78 ,$657.53 ,"$3,190.24 ","$782,232.91 ","145,109","1,129",217,$5.39 ,$692.85 ,"$3,604.76 ","$557,868.17 ","89,891",670,117,$6.21 ,$832.64 ,"$4,768.10 ",15.13%,15.07%
Stalevo 150 ,Carbidopa/Levodopa/Entacapone ,Novartis ,"$13,879,315.02 ","3,882,906","29,656","6,846",$3.57 ,$468.01 ,"$2,027.36 ","$5,147,760.80 ","1,226,359","9,651","1,915",$4.20 ,$533.39 ,"$2,688.13 ","$2,936,077.04 ","610,183","4,445",947,$4.81 ,$660.53 ,"$3,100.40 ","$1,842,736.38 ","336,995","2,410",446,$5.47 ,$764.62 ,"$4,131.70 ","$1,392,346.05 ","225,496","1,484",268,$6.17 ,$938.24 ,"$5,195.32 ",12.92%,14.64%
Stalevo 200 ,Carbidopa/Levodopa/Entacapone ,Novartis ,"$9,429,620.80 ","2,667,966","20,092","4,216",$3.53 ,$469.32 ,"$2,236.63 ","$4,039,571.05 ","963,299","7,226","1,473",$4.19 ,$559.03 ,"$2,742.41 ","$2,362,425.75 ","494,684","3,632",718,$4.78 ,$650.45 ,"$3,290.29 ","$1,469,733.56 ","271,119","1,883",359,$5.42 ,$780.53 ,"$4,093.97 ","$1,257,119.14 ","203,715","1,370",243,$6.17 ,$917.61 ,"$5,173.33 ",13.83%,14.95%
Stalevo 50 ,Carbidopa/Levodopa/Entacapone ,Novartis ,"$3,599,422.64 ","1,005,918","9,321","2,258",$3.58 ,$386.16 ,"$1,594.08 ","$1,201,410.43 ","286,210","2,774",633,$4.20 ,$433.10 ,"$1,897.96 ","$598,157.49 ","125,038","1,062",262,$4.78 ,$563.24 ,"$2,283.04 ","$383,370.98 ","70,602",516,113,$5.43 ,$742.97 ,"$3,392.66 ","$267,061.95 ","43,892",304,76,$6.08 ,$878.49 ,"$3,513.97 ",12.05%,14.19%
Stalevo 75 ,Carbidopa/Levodopa/Entacapone ,Novartis ,"$3,070,204.59 ","865,074","7,286","1,707",$3.55 ,$421.38 ,"$1,798.60 ","$1,241,130.85 ","294,575","2,396",538,$4.21 ,$518.00 ,"$2,306.93 ","$660,873.44 ","136,943","1,016",243,$4.83 ,$650.47 ,"$2,719.64 ","$400,864.50 ","73,344",546,112,$5.47 ,$734.18 ,"$3,579.15 ","$334,180.21 ","53,180",377,69,$6.28 ,$886.42 ,"$4,843.19 ",14.97%,15.35%
Starlix ,Nateglinide ,Novartis ,"$1,298,847.13 ","647,254","5,521","1,317",$2.01 ,$235.26 ,$986.22 ,"$1,086,813.25 ","499,915","3,978",885,$2.17 ,$273.21 ,"$1,228.04 ","$962,820.20 ","403,185","3,031",687,$2.39 ,$317.66 ,"$1,401.49 ","$789,068.38 ","302,994","2,316",495,$2.60 ,$340.70 ,"$1,594.08 ","$697,298.23 ","236,081","1,782",372,$2.95 ,$391.30 ,"$1,874.46 ",13.41%,10.15%
Stavudine ,Stavudine ,Aurobindo Pharm ,"$272,662.79 ","115,240","1,853",351,$2.37 ,$147.15 ,$776.82 ,"$163,275.86 ","91,254","1,407",261,$1.79 ,$116.05 ,$625.58 ,"$148,559.02 ","89,204","1,355",242,$1.67 ,$109.64 ,$613.88 ,"$88,182.89 ","55,608",850,150,$1.59 ,$103.74 ,$587.89 ,"$17,060.49 ","16,140",255,99,$1.06 ,$66.90 ,$172.33 ,-33.34%,-18.24%
Stavudine ,Stavudine ,Camber Pharmace ,"$1,104,181.01 ","506,288","8,305","1,359",$2.17 ,$132.95 ,$812.50 ,"$783,253.25 ","431,213","7,111","1,149",$1.82 ,$110.15 ,$681.68 ,"$579,943.25 ","335,726","5,598",918,$1.73 ,$103.60 ,$631.75 ,"$380,133.90 ","248,553","4,051",635,$1.54 ,$93.84 ,$598.64 ,"$285,549.94 ","231,907","3,787",611,$1.24 ,$75.40 ,$467.35 ,-19.36%,-13.05%
Stavudine ,Stavudine ,Mylan ,"$139,654.67 ","66,253","1,181",244,$2.11 ,$118.25 ,$572.36 ,"$118,993.44 ","65,981","1,124",316,$1.80 ,$105.87 ,$376.56 ,"$148,149.35 ","83,781","1,354",384,$1.76 ,$109.42 ,$385.81 ,"$172,029.13 ","109,411","1,732",335,$1.58 ,$99.32 ,$513.52 ,"$98,822.33 ","79,851","1,272",285,$1.24 ,$77.69 ,$346.75 ,-21.43%,-12.44%
Stelara ,Ustekinumab ,Janssen Biotech ,"$50,319,971.16 ","4,250","5,730","1,898","$11,826.28 ","$8,781.84 ","$26,512.10 ","$89,501,701.78 ","6,714","9,001","3,037","$13,326.35 ","$9,943.53 ","$29,470.43 ","$157,144,756.23 ","10,830","14,073","4,543","$14,608.74 ","$11,166.40 ","$34,590.53 ","$205,334,690.66 ","12,660","16,956","5,644","$16,212.79 ","$12,109.85 ","$36,381.06 ","$264,877,321.01 ","15,479","20,154","6,616","$17,205.68 ","$13,142.67 ","$40,035.87 ",6.12%,9.83%
Stendra ,Avanafil ,Vivus/Mist Phar ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$3,439.72 ",129,28,15,$26.66 ,$122.85 ,$229.31 ,"$9,062.84 ",301,52,27,$30.11 ,$174.29 ,$335.66 ,"$17,693.74 ",456,68,27,$38.80 ,$260.20 ,$655.32 ,28.87%,20.63%
Sterile Pads ,Gauze Bandage ,Sunmark ,$731.71 ,"4,900",105,57,$0.15 ,$6.97 ,$12.84 ,$745.44 ,"5,532",95,50,$0.13 ,$7.85 ,$14.91 ,$907.63 ,"6,651",113,52,$0.14 ,$8.03 ,$17.45 ,$574.53 ,"4,060",73,49,$0.14 ,$7.87 ,$11.73 ,$910.93 ,"7,485",88,38,$0.12 ,$10.35 ,$23.97 ,-14.00%,-4.99%
Stimate ,Desmopressin Acetate ,CSL Behring LLC ,"$303,875.39 ","1,319",489,339,$230.47 ,$621.42 ,$896.39 ,"$360,353.77 ","1,545",554,384,$233.24 ,$650.46 ,$938.42 ,"$412,674.87 ","1,718",615,434,$240.28 ,$671.02 ,$950.86 ,"$477,410.59 ","1,824",644,433,$261.74 ,$741.32 ,"$1,102.56 ","$582,627.27 ","2,176",727,471,$267.75 ,$801.41 ,"$1,237.00 ",2.30%,3.82%
Stiolto Respimat ,Tiotropium Br/Olodaterol HCl ,Boehringer Ing. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$6,822,230.96 ","86,772","18,626","11,134",$78.62 ,$366.27 ,$612.74 ,"$56,534,441.06 ","722,536","152,007","48,682",$78.24 ,$371.92 ,"$1,161.30 ",-0.48%,-0.48%
Stivarga ,Regorafenib ,"Bayer,Pharm Div ","$12,045,831.77 ","105,233","1,268",839,$114.47 ,"$9,499.87 ","$14,357.37 ","$83,896,193.87 ","717,010","8,904","3,388",$117.01 ,"$9,422.30 ","$24,762.75 ","$87,085,331.46 ","678,539","8,734","3,152",$128.34 ,"$9,970.84 ","$27,628.60 ","$100,055,034.22 ","682,419","9,007","3,155",$146.62 ,"$11,108.59 ","$31,713.16 ","$76,009,991.50 ","466,946","6,447","2,241",$162.78 ,"$11,789.98 ","$33,917.89 ",11.02%,9.20%
Strattera ,Atomoxetine HCl ,Eli Lilly & Co. ,"$29,611,657.54 ","4,459,839","116,324","20,713",$6.67 ,$254.56 ,"$1,429.62 ","$36,518,238.88 ","4,912,524","129,361","22,377",$7.47 ,$282.30 ,"$1,631.95 ","$45,008,997.04 ","5,126,305","135,516","23,132",$8.82 ,$332.13 ,"$1,945.75 ","$56,108,607.60 ","5,067,898","135,288","23,248",$11.12 ,$414.73 ,"$2,413.48 ","$69,963,098.57 ","5,290,886","142,365","23,859",$13.28 ,$491.43 ,"$2,932.36 ",19.41%,18.77%
Streptomycin Sulfate ,Streptomycin Sulfate ,X-Gen Pharmaceu ,"$18,707.36 ","6,737",181,53,$2.78 ,$103.36 ,$352.97 ,"$30,703.53 ","5,161",268,74,$5.95 ,$114.57 ,$414.91 ,"$36,003.22 ","3,238",269,60,$11.12 ,$133.84 ,$600.05 ,"$35,409.75 ","2,787",259,67,$12.71 ,$136.72 ,$528.50 ,"$17,989.26 ","5,117",144,47,$3.52 ,$124.93 ,$382.75 ,-72.33%,6.07%
Striant ,Testosterone ,Auxilium/Endo P ,  ,  ,  ,  ,  ,  ,  ,"$212,183.97 ","31,496",431,171,$6.74 ,$492.31 ,"$1,240.84 ","$219,041.62 ","28,615",421,136,$7.65 ,$520.29 ,"$1,610.60 ","$213,564.23 ","24,770",376,115,$8.62 ,$567.99 ,"$1,857.08 ","$184,023.91 ","19,505",278,88,$9.43 ,$661.96 ,"$2,091.18 ",9.43%,11.88%
Stribild ,Elviteg/Cobi/Emtric/Tenofo Dis ,Gilead Sciences ,"$6,461,887.62 ","80,725","2,571","1,258",$80.05 ,"$2,513.38 ","$5,136.64 ","$88,756,674.03 ","1,114,810","36,110","6,217",$79.62 ,"$2,457.95 ","$14,276.45 ","$190,217,566.57 ","2,281,552","73,281","10,487",$83.37 ,"$2,595.73 ","$18,138.42 ","$283,915,595.69 ","3,302,946","106,735","14,272",$85.96 ,"$2,660.00 ","$19,893.19 ","$259,593,187.64 ","2,777,067","90,004","13,075",$93.48 ,"$2,884.24 ","$19,854.16 ",8.75%,3.95%
Striverdi Respimat ,Olodaterol HCl ,Boehringer Ing. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$17,761.61 ",552,109,94,$32.18 ,$162.95 ,$188.95 ,"$648,695.84 ","17,888","3,604","1,443",$36.26 ,$179.99 ,$449.55 ,"$2,122,565.53 ","52,131","8,917","2,811",$40.72 ,$238.04 ,$755.09 ,12.28%,12.49%
Stromectol ,IVermectin ,Merck Sharp & D ,"$1,291,801.60 ","243,735","31,814","23,242",$5.30 ,$40.60 ,$55.58 ,"$1,646,764.23 ","319,905","41,551","29,312",$5.15 ,$39.63 ,$56.18 ,"$1,838,468.72 ","362,768","43,348","31,263",$5.07 ,$42.41 ,$58.81 ,"$590,049.59 ","119,790","15,027","11,397",$4.93 ,$39.27 ,$51.77 ,"$155,557.56 ","30,464","3,893","2,968",$5.11 ,$39.96 ,$52.41 ,3.67%,-0.93%
Suboxone ,Buprenorphine HCl/Naloxone HCl ,Indivior Inc. ,"$70,379,272.00 ","10,361,308","225,477","30,880",$6.81 ,$312.14 ,"$2,279.12 ","$133,063,706.52 ","18,904,456","412,639","46,533",$7.08 ,$322.47 ,"$2,859.56 ","$147,721,013.39 ","20,885,792","460,165","49,018",$7.12 ,$321.02 ,"$3,013.61 ","$164,273,388.86 ","23,274,500","525,966","52,271",$7.11 ,$312.33 ,"$3,142.73 ","$193,815,120.12 ","26,138,432","626,156","58,765",$7.49 ,$309.53 ,"$3,298.14 ",5.36%,2.41%
Subsys ,Fentanyl ,Insys Therapeut ,"$789,608.09 ","16,585",223,98,$44.77 ,"$3,540.84 ","$8,057.23 ","$29,144,182.26 ","499,199","4,760","1,219",$55.53 ,"$6,122.73 ","$23,908.27 ","$96,619,662.92 ","1,361,092","11,847","2,620",$66.68 ,"$8,155.62 ","$36,877.73 ","$162,941,182.20 ","1,882,642","15,704","2,991",$81.53 ,"$10,375.78 ","$54,477.16 ","$125,789,787.59 ","1,186,637","9,212","1,795",$99.63 ,"$13,654.99 ","$70,077.88 ",22.21%,22.14%
Sucraid ,Sacrosidase ,Qol Medical ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$444,143.90 ","14,868",69,19,$29.87 ,"$6,436.87 ","$23,375.99 ","$1,798,384.89 ","55,750",239,65,$32.26 ,"$7,524.62 ","$27,667.46 ","$1,663,710.72 ","51,684",209,64,$32.19 ,"$7,960.34 ","$25,995.48 ",-0.21%,3.81%
Sucralfate ,Sucralfate ,Actavis/Greenst ,"$10,398,003.22 ","33,920,733","316,462","118,020",$0.31 ,$32.86 ,$88.10 ,"$11,279,574.57 ","35,653,841","346,942","132,365",$0.32 ,$32.51 ,$85.22 ,"$10,173,419.84 ","33,883,466","330,878","127,218",$0.30 ,$30.75 ,$79.97 ,"$10,256,982.34 ","34,911,155","339,932","132,457",$0.29 ,$30.17 ,$77.44 ,"$8,114,526.76 ","35,670,377","338,139","143,159",$0.23 ,$24.00 ,$56.68 ,-22.57%,-7.19%
Sucralfate ,Sucralfate ,Ahp ,"$11,719.26 ","38,122",336,224,$0.31 ,$34.88 ,$52.32 ,"$22,439.36 ","70,782",753,285,$0.32 ,$29.80 ,$78.73 ,"$24,607.52 ","78,856",946,242,$0.31 ,$26.01 ,$101.68 ,"$24,121.03 ","68,504",854,239,$0.35 ,$28.24 ,$100.92 ,"$6,035.44 ","20,662",266,71,$0.29 ,$22.69 ,$85.01 ,-17.04%,-1.27%
Sucralfate ,Sucralfate ,Mylan Instituti ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$18,549.78 ","59,004",754,252,$0.31 ,$24.60 ,$73.61 ,"$40,200.60 ","130,162","1,797",482,$0.31 ,$22.37 ,$83.40 ,"$59,153.85 ","201,984","2,748",597,$0.29 ,$21.53 ,$99.09 ,-5.18%,-3.48%
Sucralfate ,Sucralfate ,Nostrum/Mylan ,"$12,488,441.08 ","41,773,034","393,076","144,253",$0.30 ,$31.77 ,$86.57 ,"$11,594,825.80 ","38,418,627","351,748","129,324",$0.30 ,$32.96 ,$89.66 ,"$10,205,848.07 ","36,275,685","328,225","125,522",$0.28 ,$31.09 ,$81.31 ,"$6,360,402.46 ","22,783,459","200,893","88,019",$0.28 ,$31.66 ,$72.26 ,"$1,831,438.64 ","8,984,360","80,502","38,104",$0.20 ,$22.75 ,$48.06 ,-26.98%,-9.13%
Sucralfate ,Sucralfate ,Teva USA ,"$10,693,295.02 ","35,182,729","345,168","130,668",$0.30 ,$30.98 ,$81.84 ,"$16,413,718.63 ","52,469,580","500,398","168,048",$0.31 ,$32.80 ,$97.67 ,"$19,841,406.04 ","66,190,368","627,530","204,470",$0.30 ,$31.62 ,$97.04 ,"$27,174,849.48 ","90,905,063","861,248","288,073",$0.30 ,$31.55 ,$94.33 ,"$27,033,947.37 ","118,614,638","1,114,526","376,303",$0.23 ,$24.26 ,$71.84 ,-23.76%,-6.94%
Sucralfate ,Sucralfate ,Vistapharm ,"$980,928.40 ","3,026,092","4,698","1,622",$0.32 ,$208.80 ,$604.76 ,"$1,405,043.08 ","3,654,804","5,658","1,926",$0.38 ,$248.33 ,$729.51 ,"$745,428.94 ","1,812,243","2,882","1,335",$0.41 ,$258.65 ,$558.37 ,"$418,127.02 ","992,277","1,788",818,$0.42 ,$233.85 ,$511.16 ,"$633,599.51 ","1,497,181","2,561","1,135",$0.42 ,$247.40 ,$558.24 ,0.43%,6.89%
Sular ,Nisoldipine ,Shionogi/Covis ,"$2,797,765.07 ","260,366","5,958","1,222",$10.78 ,$469.58 ,"$2,289.50 ","$2,077,381.27 ","165,404","3,463",623,$12.57 ,$599.88 ,"$3,334.48 ","$1,530,683.22 ","118,122","2,231",409,$12.96 ,$686.10 ,"$3,742.50 ","$1,214,322.29 ","88,858","1,648",278,$13.67 ,$736.85 ,"$4,368.07 ","$980,886.78 ","65,783","1,138",212,$14.91 ,$861.94 ,"$4,626.82 ",9.04%,8.44%
Sulfacetamide Sodium ,Sulfacetamide Sodium ,Akorn Inc. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$3,681.60 ","2,050",138,135,$1.80 ,$26.68 ,$27.27 ,"$113,902.29 ","40,755","2,713","2,495",$2.79 ,$41.98 ,$45.65 ,"$166,306.90 ","65,580","4,343","4,050",$2.54 ,$38.29 ,$41.06 ,-9.26%,18.83%
Sulfacetamide Sodium ,Sulfacetamide Sodium ,Fougera/Sandoz ,"$695,593.33 ","967,044","7,818","5,234",$0.72 ,$88.97 ,$132.90 ,"$527,598.56 ","791,890","6,376","4,436",$0.67 ,$82.75 ,$118.94 ,"$256,012.47 ","394,173","3,233","2,430",$0.65 ,$79.19 ,$105.35 ,"$34,626.39 ","50,503",431,291,$0.69 ,$80.34 ,$118.99 ,"$20,029.71 ","28,273",233,161,$0.71 ,$85.96 ,$124.41 ,3.33%,-0.38%
Sulfacetamide Sodium ,Sulfacetamide Sodium ,Pacific/Greenst ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,575.84 ",661,118,107,$3.90 ,$21.83 ,$24.07 ,"$23,806.20 ","7,270","1,193","1,067",$3.27 ,$19.95 ,$22.31 ,-15.96%,-15.96%
Sulfacetamide Sodium ,Sulfacetamide Sodium ,Perrigo Co. ,"$3,007.63 ","4,290",33,33,$0.70 ,$91.14 ,$91.14 ,"$225,951.12 ","358,622","2,810","2,255",$0.63 ,$80.41 ,$100.20 ,"$692,071.10 ","1,100,046","8,832","6,596",$1.07 ,$78.36 ,$104.92 ,"$1,289,246.68 ","1,813,329","15,723","10,674",$2.01 ,$82.00 ,$120.78 ,"$1,478,540.35 ","1,655,496","13,865","9,272",$1.61 ,$106.64 ,$159.46 ,-19.73%,23.17%
Sulfacetamide Sodium ,Sulfacetamide Sodium ,Sandoz ,"$470,510.97 ","432,545","28,710","25,254",$1.09 ,$16.39 ,$18.63 ,"$901,447.53 ","438,195","29,061","25,502",$2.06 ,$31.02 ,$35.35 ,"$946,275.37 ","405,796","26,949","23,516",$2.33 ,$35.11 ,$40.24 ,"$974,908.49 ","404,718","26,866","23,652",$2.41 ,$36.29 ,$41.22 ,"$250,818.79 ","95,498","6,348","5,723",$2.63 ,$39.51 ,$43.83 ,9.03%,24.65%
Sulfacetamide Sodium ,Sulfacetamide Sodium ,Valeant ,"$848,743.49 ","793,117","52,287","43,858",$1.07 ,$16.23 ,$19.35 ,"$1,460,004.85 ","770,404","50,766","43,222",$1.90 ,$28.76 ,$33.78 ,"$1,559,135.73 ","747,635","49,341","41,845",$2.09 ,$31.60 ,$37.26 ,"$1,301,063.92 ","690,222","45,542","39,242",$1.88 ,$28.57 ,$33.15 ,"$1,848,309.62 ","811,751","53,564","46,319",$2.28 ,$34.51 ,$39.90 ,20.79%,20.78%
Sulfacetamide-Prednisolone ,Sulfacetamide/Prednisolone Sp ,Sandoz ,"$35,307.16 ","12,930","1,895","1,286",$2.73 ,$18.63 ,$27.46 ,"$32,801.14 ","11,930","1,916","1,353",$2.75 ,$17.12 ,$24.24 ,"$24,286.01 ","9,160","1,484","1,119",$2.65 ,$16.37 ,$21.70 ,"$24,430.67 ","10,405","1,675","1,273",$2.35 ,$14.59 ,$19.19 ,"$1,879.74 ",840,148,138,$2.24 ,$12.70 ,$13.62 ,-4.69%,-4.85%
Sulfacetamide-Prednisolone ,Sulfacetamide/Prednisolone Sp ,Valeant ,"$232,374.03 ","89,923","11,172","6,126",$2.58 ,$20.80 ,$37.93 ,"$220,624.50 ","85,173","10,804","6,138",$2.59 ,$20.42 ,$35.94 ,"$197,545.25 ","78,286","10,013","5,923",$2.52 ,$19.73 ,$33.35 ,"$201,011.35 ","82,539","10,627","6,481",$2.44 ,$18.92 ,$31.02 ,"$225,956.11 ","96,151","12,347","7,859",$2.35 ,$18.30 ,$28.75 ,-3.50%,-2.35%
